_id,vendas[0]._id_produto,vendas[1]._id_produto,vendas[2]._id_produto,vendas[3]._id_produto,vendas[4]._id_produto,vendas[0].Tipo,vendas[1].Tipo,vendas[2].Tipo,vendas[3].Tipo,vendas[4].Tipo,vendas[0].Data_Compra,vendas[1].Data_Compra,vendas[2].Data_Compra,vendas[3].Data_Compra,vendas[4].Data_Compra,vendas[0].Quantidade,vendas[1].Quantidade,vendas[2].Quantidade,vendas[3].Quantidade,vendas[4].Quantidade,vendas[0].Preco_unitario,vendas[1].Preco_unitario,vendas[2].Preco_unitario,vendas[3].Preco_unitario,vendas[4].Preco_unitario,vendas[0].Valor,vendas[1].Valor,vendas[2].Valor,vendas[3].Valor,vendas[4].Valor,vendas[0].Nota_Fiscal,vendas[1].Nota_Fiscal,vendas[2].Nota_Fiscal,vendas[3].Nota_Fiscal,vendas[4].Nota_Fiscal
1,9,4,5,1,2,Eletro,Cama_mesa,Moveis,Eletro,Cama_mesa,01.02.2024,01.02.2024,01.02.2024,05.03.2024,05.03.2024,2,1,1,2,1,4820,287,4952,5270,290,9640,287,4952,10540,290,781654,781654,781654,782634,782634
2,7,5,4,3,10,Moveis,Eletro,Cama_mesa,Moveis,Eletro,02.03.2024,02.03.2024,15.03.2024,15.03.2024,15.03.2024,1,1,2,1,2,4632,4930,278,4721,5214,4632,4930,556,4721,10428,782928,782928,783516,783516,783516
3,5,3,1,2,4,Cama_mesa,Moveis,Eletro,Cama_mesa,Moveis,02.02.2024,02.02.2024,25.02.2024,25.02.2024,15.03.2024,1,2,3,1,1,350,3985,5236,238,3870,350,7970,15708,238,3870,784398,784692,784986,784986,785574
4,6,8,9,10,9,Eletro,Cama_mesa,Moveis,Eletro,Cama_mesa,02.02.2024,02.02.2024,25.02.2024,25.02.2024,15.03.2024,2,1,1,2,1,4732,263,4123,4125,241,9464,263,4123,8250,241,786162,786162,786750,786750,787044
5,7,5,3,1,8,Moveis,Eletro,Cama_mesa,Moveis,Eletro,01.02.2024,01.02.2024,01.02.2024,05.03.2024,05.03.2024,1,1,2,1,2,4870,5024,293,4236,4932,4870,5024,586,4236,9864,787926,787926,787926,788514,788514
6,6,4,2,3,5,Cama_mesa,Moveis,Eletro,Cama_mesa,Moveis,02.03.2024,02.03.2024,15.03.2024,15.03.2024,15.03.2024,1,2,3,1,1,285,4215,7852,300,4632,285,8430,23556,300,4632,788808,789102,789690,789690,789984
7,7,9,2,4,8,Eletro,Cama_mesa,Moveis,Eletro,Cama_mesa,02.02.2024,02.02.2024,25.02.2024,25.02.2024,15.03.2025,2,1,1,2,1,4932,312,5821,5321,287,9864,312,5821,10642,287,790572,790572,791160,791160,791454
8,6,10,3,7,9,Moveis,Eletro,Cama_mesa,Moveis,Eletro,02.02.2024,02.02.2024,25.02.2024,25.02.2024,15.03.2024,1,1,2,1,2,4825,5890,263,4123,6874,4825,5890,526,4123,13748,792042,792042,792630,792630,792924
9,2,8,6,2,4,Cama_mesa,Moveis,Eletro,Cama_mesa,Moveis,07.01.2024,07.01.2024,15.02.2024,15.02.2024,25.03.2024,1,2,3,1,1,274,6123,5932,283,4753,274,12246,17796,283,4753,793512,793512,794100,794100,794394
10,9,6,5,2,3,Eletro,Cama_mesa,Moveis,Eletro,Cama_mesa,13.02.2024,13.02.2024,17.03.2024,21.03.2024,21.03.2024,1,2,1,1,2,5478,241,4632,5210,263,5478,482,4632,5210,526,794982,794982,795276,795864,795864
