_id,emprestimos[0]._id_livro,emprestimos[1]._id_livro,emprestimos[2]._id_livro,emprestimos[3]._id_livro,emprestimos[4]._id_livro,emprestimos[0].Assunto,emprestimos[1].Assunto,emprestimos[2].Assunto,emprestimos[3].Assunto,emprestimos[4].Assunto,emprestimos[0].Data_Emprestimo,emprestimos[1].Data_Emprestimo,emprestimos[2].Data_Emprestimo,emprestimos[3].Data_Emprestimo,emprestimos[4].Data_Emprestimo,emprestimos[0].Data_Devolucao,emprestimos[1].Data_Devolucao,emprestimos[2].Data_Devolucao,emprestimos[3].Data_Devolucao,emprestimos[4].Data_Devolucao,emprestimos[0].Multa,emprestimos[1].Multa,emprestimos[2].Multa,emprestimos[3].Multa,emprestimos[4].Multa
1,7,3,1,5,8,Informatica,Medicina,Psicologia,Informatica,Medicina,01.02.2024,15.03.2024,17.03.2024,21.03.2024,25.03.2024,01.03.2024,21.03.2024,21.03.2024,25.02.2024,,10,0,0,0,0
2,2,4,5,7,8,Psicologia,Informatica,Medicina,Psicologia,Informatica,01.02.2024,15.03.2024,17.03.2024,21.03.2024,25.03.2024,15.02.2024,21.03.2024,21.03.2024,25.02.2024,,0,0,0,0,0
3,5,3,7,9,2,Medicina,Psicologia,Informatica,Medicina,Psicologia,01.02.2024,15.03.2024,17.03.2024,21.03.2024,25.03.2024,18.02.2024,21.03.2024,21.03.2024,25.02.2024,,0,0,0,0,0
4,6,7,3,7,4,Informatica,Medicina,Psicologia,Informatica,Medicina,01.02.2024,15.03.2024,17.03.2024,21.03.2024,25.03.2024,01.03.2024,21.03.2024,21.03.2024,25.02.2024,,10,0,0,0,0
5,2,1,4,5,8,Psicologia,Informatica,Medicina,Psicologia,Informatica,01.02.2024,15.03.2024,17.03.2024,21.03.2024,25.03.2024,07.02.2024,21.03.2024,21.03.2024,25.02.2024,,0,0,0,0,0
6,9,1,4,6,8,Medicina,Psicologia,Informatica,Medicina,Psicologia,01.02.2024,15.03.2024,17.03.2024,21.03.2024,25.03.2024,21.02.2024,21.03.2024,21.03.2024,25.02.2024,,0,0,0,0,0
7,9,1,8,2,5,Informatica,Medicina,Psicologia,Informatica,Medicina,01.02.2024,15.03.2024,17.03.2024,21.03.2024,25.03.2024,08.02.2024,21.03.2024,21.03.2024,25.02.2024,,0,0,0,0,0
8,7,3,6,4,5,Psicologia,Informatica,Medicina,Psicologia,Informatica,01.02.2024,15.03.2024,17.03.2024,21.03.2024,25.03.2024,01.03.2024,21.03.2024,21.03.2024,25.02.2024,,10,0,0,0,0
9,3,2,7,5,4,Medicina,Psicologia,Informatica,Medicina,Psicologia,01.02.2024,15.03.2024,17.03.2024,21.03.2024,25.03.2024,09.02.2024,21.03.2024,21.03.2024,25.02.2024,,0,0,0,0,0
10,4,2,7,1,8,Informatica,Medicina,Psicologia,Informatica,Medicina,01.02.2024,15.03.2024,17.03.2024,21.03.2024,25.03.2024,11.02.2024,21.03.2024,21.03.2024,25.02.2024,,0,0,0,0,0
