_id,emprestimos[0]._id_livro,emprestimos[1]._id_livro,emprestimos[2]._id_livro,emprestimos[3]._id_livro,emprestimos[4]._id_livro,emprestimos[0].Assunto,emprestimos[1].Assunto,emprestimos[2].Assunto,emprestimos[3].Assunto,emprestimos[4].Assunto,emprestimos[0].Data_Emprestimo,emprestimos[1].Data_Emprestimo,emprestimos[2].Data_Emprestimo,emprestimos[3].Data_Emprestimo,emprestimos[4].Data_Emprestimo,emprestimos[0].Data_Devolucao,emprestimos[1].Data_Devolucao,emprestimos[2].Data_Devolucao,emprestimos[3].Data_Devolucao,emprestimos[4].Data_Devolucao,emprestimos[0].Multa,emprestimos[1].Multa,emprestimos[2].Multa,emprestimos[3].Multa,emprestimos[4].Multa,emprestimos[0].Data_emprestimo,emprestimos[1].Data_emprestimo,emprestimos[2].Data_emprestimo,emprestimos[3].Data_emprestimo,emprestimos[4].Data_emprestimo,empréstimos[0]._id_livro,empréstimos[1]._id_livro,empréstimos[2]._id_livro,empréstimos[3]._id_livro,empréstimos[4]._id_livro,empréstimos[0].Assunto,empréstimos[1].Assunto,empréstimos[2].Assunto,empréstimos[3].Assunto,empréstimos[4].Assunto,empréstimos[0].Data_emprestimo,empréstimos[1].Data_emprestimo,empréstimos[2].Data_emprestimo,empréstimos[3].Data_emprestimo,empréstimos[4].Data_emprestimo,empréstimos[0].Data_Devolucao,empréstimos[1].Data_Devolucao,empréstimos[2].Data_Devolucao,empréstimos[3].Data_Devolucao,empréstimos[4].Data_Devolucao,empréstimos[0].Multa,empréstimos[1].Multa,empréstimos[2].Multa,empréstimos[3].Multa,empréstimos[4].Multa
1,17,23,1,15,28,Informatica,Medicina,Psicologia,Informatica,Medicina,2024-02-01T00:00:00.000Z,2024-03-15T00:00:00.000Z,2024-03-17T00:00:00.000Z,2024-03-21T00:00:00.000Z,2024-03-25T00:00:00.000Z,2024-03-01T00:00:00.000Z,2024-03-21T00:00:00.000Z,2024-03-21T00:00:00.000Z,2024-03-25T00:00:00.000Z,     ,10,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,14,25,7,18,Psicologia,Informatica,Medicina,Psicologia,Informatica,,,,,,2024-02-15T00:00:00.000Z,2024-03-21T00:00:00.000Z,2024-03-21T00:00:00.000Z,2024-02-25T00:00:00.000Z,    ,0,0,0,0,0,2024-02-01T00:00:00.000Z,2024-03-15T00:00:00.000Z,2024-03-17T00:00:00.000Z,2024-03-21T00:00:00.000Z,2024-03-02T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,3,17,22,2,Medicina,Psicologia,Informatica,Medicina,Psicologia,2024-02-01T00:00:00.000Z,2024-03-15T00:00:00.000Z,2024-03-17T00:00:00.000Z,2024-03-21T00:00:00.000Z,2024-03-25T00:00:00.000Z,2024-02-18T00:00:00.000Z,2024-03-21T00:00:00.000Z,2024-03-21T00:00:00.000Z,2024-02-25T00:00:00.000Z,    ,0,0,0,0,0
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,27,3,17,24,Informatica,Medicina,Psicologia,Informatica,Medicina,2024-02-01T00:00:00.000Z,2024-03-15T00:00:00.000Z,2024-03-17T00:00:00.000Z,2024-03-21T00:00:00.000Z,2024-03-25T00:00:00.000Z,2024-03-01T00:00:00.000Z,2024-03-21T00:00:00.000Z,2024-03-21T00:00:00.000Z,2024-02-25T00:00:00.000Z,    ,10,0,0,0,0
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,11,24,5,18,Psicologia,Informatica,Medicina,Psicologia,Informatica,2024-02-01T00:00:00.000Z,2024-03-15T00:00:00.000Z,2024-03-17T00:00:00.000Z,2024-03-21T00:00:00.000Z,2024-03-25T00:00:00.000Z,2024-02-07T00:00:00.000Z,2024-03-21T00:00:00.000Z,2024-03-21T00:00:00.000Z,2024-02-25T00:00:00.000Z,    ,0,0,0,0,0
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,1,14,26,8,Medicina,Psicologia,Informatica,Medicina,Psicologia,2024-02-01T00:00:00.000Z,2024-03-15T00:00:00.000Z,2024-03-17T00:00:00.000Z,2024-03-21T00:00:00.000Z,2024-03-25T00:00:00.000Z,2024-02-21T00:00:00.000Z,2024-03-21T00:00:00.000Z,2024-03-21T00:00:00.000Z,2024-02-25T00:00:00.000Z,    ,0,0,0,0,0
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,21,8,12,25,Informatica,Medicina,Psicologia,Informatica,Medicina,2024-02-01T00:00:00.000Z,2024-03-15T00:00:00.000Z,2024-03-17T00:00:00.000Z,2024-03-21T00:00:00.000Z,2024-03-25T00:00:00.000Z,2024-08-02T00:00:00.000Z,2024-03-21T00:00:00.000Z,2024-03-21T00:00:00.000Z,2024-02-25T00:00:00.000Z,    ,0,0,0,0,0
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,13,26,4,15,Psicologia,Informatica,Medicina,Psicologia,Informatica,2024-02-01T00:00:00.000Z,2024-03-15T00:00:00.000Z,2024-03-17T00:00:00.000Z,2024-03-21T00:00:00.000Z,2024-03-25T00:00:00.000Z,2024-03-01T00:00:00.000Z,2024-03-21T00:00:00.000Z,2024-03-21T00:00:00.000Z,2024-02-25T00:00:00.000Z,    ,10,0,0,0,0
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,2,17,25,4,Medicina,Psicologia,Informatica,Medicina,Psicologia,2024-02-01T00:00:00.000Z,2024-03-15T00:00:00.000Z,2024-03-17T00:00:00.000Z,2024-03-21T00:00:00.000Z,2024-03-25T00:00:00.000Z,2024-02-09T00:00:00.000Z,2024-03-21T00:00:00.000Z,2024-03-21T00:00:00.000Z,2024-02-25T00:00:00.000Z,    ,0,0,0,0,0
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,22,7,11,28,Informatica,Medicina,Psicologia,Informatica,Medicina,2024-02-01T00:00:00.000Z,2024-03-15T00:00:00.000Z,2024-03-17T00:00:00.000Z,2024-03-21T00:00:00.000Z,2024-03-25T00:00:00.000Z,2024-02-11T00:00:00.000Z,2024-03-21T00:00:00.000Z,2024-03-21T00:00:00.000Z,2024-02-25T00:00:00.000Z,    ,0,0,0,0,0
