_id,Titulo,Autor,Editora,Exemplar
1,Engenharia de Software,Roger Pressman,Pearson,
2, Qualidade de Software na Prática,Cleuton Sampaio, Editora Ciencia Moderna,
3, Engenharia de Requisitos,Carlos Eduardo Vasques,Editora Brassport,
4,UML Guia do Usuario,Ana Alice Vilas Boas,Editora Campus,
5,Phyton para Leigos, John Paull Mueller,Editora Alta Books,
7,Data Science do Zero,Joel Gruss, Editora Alta Books,
8,Desenvolvimento Agil Limpo,Robert C.Martins, Editora Alta Books,
9,Código Limpo,Robert Cecil, Editora Alta Books,
999,Teste de inserção1,Paulo,Moderna,1
998,Teste de inserção1,,,1
