_id,Titulo,Autor,Editora
1, A Psicologia dos Sonhos,Sigmund Freud,Editora Principium
2, Psicanálise e Revolução,Ian Parker,Editora Autentica
3, Psicologia e as Psicologias,Ana Merces Bock,Editora Saraiva
4,O Cerebro de Luto,Mari Frances O'Connor, Editora Principium
5,Terapia Familiar Conceitos e Metodos,Michel P. Nichols, Editora Artmed
6,Vocabularios da Psicanalise, Martins Fortes, Editora Pontalis
7,Teorias da Persolanidade, Teorias da Persolanidade,Editora Cencage
8,Snify O Rato Virutal,Tom Alloway,Edição Norte Americana
9,Principios Basicos da Analise do Comportamento,Marcio Borges Moreira,Editora Artmed
10,Engenharia de Software,Roger Pressman,Pearson
12, Qualidade de Software na Prática,Cleuton Sampaio, Editora Ciencia Moderna
13, Engenharia de Requisitos,Carlos Eduardo Vasques,Editora Brassport
14,UML Guia do Usuario,Ana Alice Vilas Boas,Editora Campus
15,Phyton para Leigos, John Paull Mueller,Editora Alta Books
16, Java Como Programar,  Paul J. Deitel,Pearson
17,Data Science do Zero,Joel Gruss, Editora Alta Books
18,Desenvolvimento Agil Limpo,Robert C.Martins, Editora Alta Books
19,Código Limpo,Robert Cecil, Editora Alta Books
22,Medicina do Amanha,Pedro Schetstschi, Gente Editora
23,Medicina de Bolso,Marc C. Sabatine, Editora Blucher
24,As Leis da Medicina,Siddharta Mukher,Ted Editora
25,A Medicina da Imortalidade,Ray Kurzweill,Govo Editora
26,Medicina-Diagnóstico e Tratamento,Andre Garcia Islabão,Mc Graw Hill Editora
27, Guia Prático da Medicina Chinesa,Ana Clelia Mattos,Alfabeto Editora
28,Medicina Centrada na Pessoa,Moira Stewart,Artmed Editora
29,Medicina Ambulatorial,Bruce B Duncan,Artmed Editora
